,0
0,6
1,5
2,6
3,2
4,4
5,5
6,4
7,5
8,3
9,6
10,1
11,7
12,3
13,4
14,3
15,4
16,6
17,5
18,3
19,2
20,4
21,5
22,4
23,4
24,4
25,2
26,2
27,5
28,4
29,4
30,6
31,2
32,2
33,5
34,1
35,6
36,4
37,5
38,3
39,5
40,6
41,4
42,6
43,4
44,4
45,6
46,5
47,5
48,5
49,5
50,1
51,4
52,3
53,7
54,5
55,6
56,6
57,4
58,6
59,4
60,4
61,6
62,4
63,4
64,2
65,4
66,2
67,4
68,4
69,6
70,6
71,3
72,3
73,5
74,4
75,4
76,6
77,5
78,3
79,3
80,5
81,3
82,5
83,3
84,4
85,4
86,2
87,7
88,5
89,7
90,7
91,6
92,4
93,3
94,5
95,2
96,3
97,6
98,4
99,5
100,4
101,4
102,4
103,5
104,0
105,2
106,5
107,3
108,6
109,4
110,5
111,4
112,7
113,2
114,4
115,4
116,5
117,5
118,5
119,5
120,2
121,5
122,1
123,4
124,4
125,6
126,5
127,4
128,3
129,7
130,3
131,4
132,4
133,4
134,4
135,1
136,5
137,5
138,2
139,4
140,7
141,6
142,4
143,2
144,3
145,4
146,4
147,6
148,2
149,5
150,3
151,4
152,3
153,4
154,4
155,6
156,3
157,4
158,3
159,2
160,5
161,5
162,6
163,6
164,1
165,4
166,7
167,5
168,3
169,4
170,6
171,6
172,3
173,4
174,2
175,4
176,2
177,2
178,2
179,5
180,4
181,5
182,3
183,4
184,4
185,3
186,6
187,1
188,5
189,6
190,3
191,4
192,3
193,5
194,4
195,5
196,4
197,3
198,2
199,3
200,4
201,3
202,3
203,3
204,5
205,3
206,2
207,6
208,2
209,4
210,6
211,5
212,5
213,6
214,3
215,4
216,3
217,2
218,6
219,5
220,4
221,3
222,3
223,3
224,5
225,3
226,4
227,4
228,5
229,3
230,4
231,3
232,3
233,7
234,6
235,2
236,7
237,4
238,3
239,5
240,3
241,3
242,5
243,7
244,4
245,5
246,2
247,3
248,4
249,2
250,3
251,5
252,6
253,6
254,4
255,2
256,2
257,3
258,3
259,3
260,6
261,4
262,2
263,4
264,2
265,4
266,1
267,7
268,4
269,4
270,5
271,3
272,5
273,5
274,5
275,5
276,5
277,7
278,2
279,5
280,1
281,5
282,5
283,4
284,2
285,5
286,4
287,3
288,5
289,3
290,3
291,5
292,4
293,5
294,6
295,4
296,4
297,2
298,4
299,6
300,4
301,3
302,2
303,3
304,4
305,5
306,2
307,5
308,3
309,0
310,4
311,3
312,4
313,7
